voted_for,gender,education,age,white
Trump,Female,2-year,77,Yes
Biden,Female,4-year,68,Yes
Trump,Male,4-year,51,Yes
Biden,Male,Some college,60,Yes
Trump,Male,Some college,56,Yes
Trump,Male,4-year,65,Yes
Biden,Male,Some college,70,Yes
Trump,Male,4-year,56,Yes
Biden,Female,4-year,63,Yes
Trump,Male,Post-grad,50,Yes
Trump,Male,Post-grad,78,Yes
Trump,Female,Some college,66,No
Biden,Female,4-year,66,No
Biden,Female,4-year,53,Yes
Trump,Female,2-year,72,No
Biden,Female,Post-grad,47,Yes
Biden,Female,Some college,61,Yes
Biden,Female,2-year,75,Yes
Biden,Male,Post-grad,71,Yes
Trump,Female,4-year,58,Yes
Trump,Female,2-year,47,No
Trump,Female,Some college,82,Yes
Biden,Female,4-year,49,Yes
Trump,Female,Some college,61,Yes
Biden,Male,Post-grad,34,Yes
Biden,Female,4-year,61,Yes
Biden,Female,Some college,37,No
Trump,Female,2-year,70,Yes
Biden,Female,Post-grad,62,Yes
Biden,Male,Post-grad,77,Yes
Trump,Male,Some college,73,Yes
Trump,Female,Some college,73,Yes
Biden,Male,High school graduate,68,Yes
Trump,Male,4-year,53,Yes
Trump,Male,Post-grad,63,Yes
Biden,Female,4-year,59,Yes
Trump,Female,4-year,70,Yes
Trump,Male,Post-grad,74,Yes
Biden,Male,Post-grad,60,Yes
Biden,Male,Post-grad,37,Yes
Biden,Male,Post-grad,71,Yes
Biden,Female,4-year,62,Yes
Trump,Female,2-year,54,Yes
Biden,Female,4-year,54,Yes
Biden,Female,4-year,64,Yes
Trump,Female,Post-grad,27,Yes
Biden,Male,Some college,48,Yes
Biden,Male,Some college,80,Yes
Biden,Female,Post-grad,34,Yes
Biden,Male,Some college,67,Yes
Trump,Male,Some college,50,Yes
Biden,Male,4-year,52,Yes
Trump,Male,Post-grad,72,Yes
Trump,Female,2-year,63,Yes
Biden,Male,Post-grad,43,Yes
Biden,Female,4-year,54,Yes
Biden,Male,Post-grad,80,Yes
Biden,Female,4-year,51,No
Biden,Male,Post-grad,65,Yes
Trump,Male,4-year,60,Yes
Trump,Female,4-year,83,Yes
Biden,Male,Some college,72,Yes
Trump,Male,4-year,74,Yes
Biden,Female,4-year,43,No
Biden,Female,Some college,73,Yes
Trump,Female,2-year,62,Yes
Biden,Female,4-year,74,Yes
Biden,Female,Post-grad,53,Yes
Biden,Male,Post-grad,77,Yes
Trump,Male,4-year,66,Yes
Biden,Male,4-year,62,Yes
Biden,Female,4-year,40,No
Biden,Male,4-year,50,Yes
Biden,Male,4-year,66,Yes
Trump,Female,Post-grad,35,Yes
Trump,Male,Post-grad,80,Yes
Biden,Female,Post-grad,71,Yes
Trump,Female,4-year,76,Yes
Biden,Male,Post-grad,69,Yes
Biden,Female,Post-grad,83,Yes
Biden,Female,Post-grad,50,No
Biden,Male,Post-grad,42,Yes
Biden,Female,Some college,73,No
Biden,Male,Post-grad,52,Yes
Biden,Male,Post-grad,73,Yes
Biden,Male,4-year,78,Yes
Trump,Female,4-year,47,Yes
Biden,Female,Post-grad,55,Yes
Biden,Female,4-year,67,No
Trump,Male,Some college,75,Yes
Biden,Female,4-year,37,Yes
Biden,Male,4-year,61,Yes
Biden,Female,2-year,71,Yes
Trump,Male,4-year,50,Yes
Trump,Male,Post-grad,76,Yes
Biden,Female,Some college,70,Yes
Trump,Female,High school graduate,66,Yes
Biden,Male,4-year,60,No
Biden,Female,Some college,53,No
Biden,Female,4-year,62,Yes
Biden,Female,Post-grad,69,Yes
Biden,Male,Post-grad,86,Yes
Biden,Female,4-year,66,Yes
Trump,Female,2-year,77,Yes
Biden,Male,Post-grad,78,Yes
Trump,Male,4-year,75,Yes
Trump,Male,4-year,75,Yes
Trump,Female,2-year,61,Yes
Trump,Female,Post-grad,43,Yes
Trump,Male,4-year,45,Yes
Biden,Female,4-year,57,Yes
Biden,Female,4-year,33,Yes
Biden,Female,4-year,47,Yes
